alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,num_auto,num_moto,num_bici,num_radio,num_tvd,num_licua,num_micro,num_refri,num_estuf,num_lavad,num_planc,num_venti,num_compu,num_impre,num_juego,ing_tri
7,0,5,7,7,3,3,7,7,7,7,0,0,0,1,0,1,0,1,1,1,1,2,0,0,0,15114.03
7,2,7,7,3,7,2,7,7,7,7,1,0,0,0,2,1,0,1,1,1,1,2,0,0,0,79309.38
7,2,7,4,6,2,0,2,4,7,5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,21530.36
7,0,7,7,6,4,1,3,7,6,7,2,0,0,0,2,1,1,1,1,1,1,2,1,0,2,78439.2
7,4,7,5,3,7,3,2,7,7,7,2,0,0,0,2,1,1,1,1,1,1,1,3,2,2,117522.02
7,2,2,7,4,5,5,7,7,7,6,0,0,0,0,1,1,1,1,1,1,1,3,1,0,1,71055.23
7,3,7,7,0,2,3,7,0,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,11933.7
7,0,7,7,2,3,2,3,7,7,0,3,0,0,1,0,1,0,1,1,1,1,1,0,0,0,15662.97
7,4,7,7,3,7,2,5,7,7,7,2,0,1,0,1,1,1,1,1,1,1,2,2,2,0,169141.28
7,1,7,7,3,0,1,0,7,7,7,1,0,0,1,2,1,1,1,1,2,1,3,1,0,0,35217.38
7,1,4,1,3,1,1,2,5,4,1,2,0,0,0,1,1,1,1,0,1,1,0,2,2,1,24999.43
7,3,7,0,2,1,1,7,2,7,4,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,12323.14
7,2,7,7,2,7,2,7,7,7,7,1,0,0,2,2,1,1,1,1,1,1,3,0,0,0,76842.36
7,4,5,6,6,5,0,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,2,1,1,0,31548.87
7,2,2,2,2,1,1,7,7,7,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,76377.69
7,0,7,7,4,4,1,4,4,7,7,2,0,6,0,7,1,2,1,1,4,2,0,2,0,1,23967.38
7,2,2,5,3,3,1,3,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,9655.43
7,0,7,4,0,1,1,7,1,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,19358.8
7,3,4,4,2,4,0,5,7,7,7,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,37760.85
7,1,2,1,1,1,0,3,3,2,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3326.57
7,2,7,7,5,3,0,7,7,7,7,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,12961.93
7,3,5,4,5,3,1,3,7,7,7,3,0,0,0,3,1,1,1,1,2,1,1,1,1,4,30815.21
7,2,3,3,7,7,0,7,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33934.41
7,0,7,7,4,2,0,4,2,7,0,1,0,0,0,0,1,0,1,1,0,0,2,1,1,0,22032.76
7,1,7,0,1,2,0,7,7,7,7,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,57295.07
7,3,7,7,3,3,2,3,7,7,7,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,89813.1
7,2,1,0,2,2,0,3,0,7,5,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,31893.39
